,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
0,Linux kernel source tree,torvalds/linux,2325298,C,linux,272,2568822,76326,
1,"Real-time performance monitoring, done right! https://my-netdata.io/",netdata/netdata,10744183,C,netdata,545,30356,38939,
2,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, HyperLogLogs, Bitmaps.",antirez/redis,156018,C,redis,2257,77139,37036,
3,Git Source Code Mirror - This is a publish-only repository and all pull requests are ignored. Please follow Documentation/SubmittingPatches procedure for any of your improvements.,git/git,36502,C,git,107,121086,27884,
4,The PHP Interpreter,php/php-src,1903522,C,php-src,163,366655,23634,
5,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.",bilibili/ijkplayer,10446890,C,ijkplayer,2272,8034,23626,
6,Modern HTTP benchmarking tool,wg/wrk,3774328,C,wrk,107,28080,20639,
7,"A code-searching tool similar to ack, but faster.",ggreer/the_silver_searcher,2810455,C,the_silver_searcher,425,2392,18164,
8,How to Make a Computer Operating System in C++,SamyPesse/How-to-Make-a-Computer-Operating-System,14807173,C,How-to-Make-a-Computer-Operating-System,74,5986,18109,
9,本项目曾冲到全球第一，干货集锦见本页面最底部，另完整精致的纸质版《编程之法：面试和算法心得》已在京东/当当上销售,julycoding/The-Art-Of-Programming-By-July,15183485,C,The-Art-Of-Programming-By-July,62,27451,17385,
10,How to create an OS from scratch,cfenollosa/os-tutorial,24586308,C,os-tutorial,41,154,15625,
11,Mirror of git://source.ffmpeg.org/ffmpeg.git,FFmpeg/FFmpeg,1614410,C,FFmpeg,2,225593,15384,
12,Command-line JSON processor,stedolan/jq,5101141,C,jq,474,6626,14506,
13,tmux source code,tmux/tmux,36836475,C,tmux,6,10076,14216,
14,"A command line tool and library for transferring data with URL syntax, supporting HTTP, HTTPS, FTP, FTPS, GOPHER, TFTP, SCP, SFTP, SMB, TELNET, DICT, LDAP, LDAPS, FILE, IMAP, SMTP, POP3, RTSP and RTMP. libcurl offers a myriad of powerful features",curl/curl,569041,C,curl,55,63397,13712,0
15,Convolutional Neural Networks,pjreddie/darknet,18666758,C,darknet,1253,6273,13637,
16,Display and control your Android device,Genymobile/scrcpy,111583593,C,scrcpy,216,922,13628,
17,OBS Studio - Free and open source software for live streaming and screen recording,obsproject/obs-studio,13233158,C,obs-studio,77,29841,13568,
18,Cross-platform asynchronous I/O,libuv/libuv,14812739,C,libuv,215,14221,12563,
19,A single-header ANSI C gui library,vurtun/nuklear,32866454,C,nuklear,201,11847,12437,
20,open source driving agent,commaai/openpilot,74627617,C,openpilot,57,478579,11362,
21,The fundamental package for scientific computing with Python.,numpy/numpy,908607,C,numpy,1902,68205,10924,85.68248
22,TLS/SSL and crypto library,openssl/openssl,7634677,C,openssl,898,171708,10624,
