,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
0,The Go programming language,golang/go,23096959,Go,go,4636,205215,59466,
1,Production-Grade Container Scheduling and Management,kubernetes/kubernetes,20580498,Go,kubernetes,3186,872116,54039,
2,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,moby/moby,7691631,Go,moby,3712,143120,53736,36.97475
3,"A curated list of awesome Go frameworks, libraries and software",avelino/awesome-go,21540759,Go,awesome-go,46,5900,44916,
4,🔴蓝灯最新版本下载 https://github.com/getlantern/download 🔴 Lantern Latest Download https://github.com/getlantern/download 🔴,getlantern/lantern,1380117,Go,lantern,2546,1151811,42817,
5,The world’s fastest framework for building websites.,gohugoio/hugo,11180687,Go,hugo,367,71642,35967,
6,A golang ebook intro how to build a web with golang,astaxie/build-web-application-with-golang,5271882,Go,build-web-application-with-golang,103,38077,30614,
7,Gogs is a painless self-hosted Git service.,gogs/gogs,16752620,Go,gogs,663,157470,30561,2.33349
8,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",gin-gonic/gin,20904437,Go,gin,185,1998,28166,97.24567
9,Open Source Continuous File Synchronization,syncthing/syncthing,14712850,Go,syncthing,246,99871,26412,42.79192
10,Distributed reliable key-value store for the most critical data of a distributed system,etcd-io/etcd,11225014,Go,etcd,434,49420,25415,63.49189
11,The Prometheus monitoring system and time series database.,prometheus/prometheus,6838921,Go,prometheus,386,67843,24567,
12,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,fatedier/frp,48378947,Go,frp,37,14200,24446,
13,Official Go implementation of the Ethereum protocol,ethereum/go-ethereum,15452919,Go,go-ethereum,593,127601,23575,
14,The Cloud Native Edge Router,containous/traefik,42408804,Go,traefik,410,43793,22895,
15,"Fast, cross-platform HTTP/2 web server with automatic HTTPS",mholt/caddy,29207621,Go,caddy,128,10687,22281,
