,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
0,:books: 技术面试必备基础知识、Leetcode 题解、Java、C++、Python、后端面试、操作系统、计算机网络、系统设计,CyC2018/CS-Notes,121395510,Java,CS-Notes,10,106204,66877,
1,Design patterns implemented in Java,iluwatar/java-design-patterns,22790488,Java,java-design-patterns,210,18740,48392,
2,【Java学习+面试指南】 一份涵盖大部分Java程序员所需要掌握的核心知识。,Snailclimb/JavaGuide,132464395,Java,JavaGuide,24,2259,44716,
3,"Open Source, Distributed, RESTful Search Engine",elastic/elasticsearch,507775,Java,elasticsearch,1982,630259,41800,
4,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,ReactiveX/RxJava,7508411,Java,RxJava,30,78087,39378,98.25414
5,Spring Boot,spring-projects/spring-boot,6296790,Java,spring-boot,377,102665,39078,
6,Everything you need to know to get the job.,kdn251/interviews,81975372,Java,interviews,40,20842,35072,
7,An HTTP+HTTP/2 client for Android and Java applications.,square/okhttp,5152285,Java,okhttp,190,21706,32886,
8,"Type-safe HTTP client for Android and Java by Square, Inc.",square/retrofit,892275,Java,retrofit,65,4964,32720,
9,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,MisterBooo/LeetCodeAnimation,160640094,Java,LeetCodeAnimation,0,201,32217,
10,Google core libraries for Java,google/guava,20300177,Java,guava,815,251818,32185,
11,Spring Framework,spring-projects/spring-framework,1148753,Java,spring-framework,938,136116,29953,
12,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, dragging and animations.",PhilJay/MPAndroidChart,19148949,Java,MPAndroidChart,1503,21264,27480,
13,"Apache Dubbo is a high-performance, java based, open source RPC framework.",apache/dubbo,4710920,Java,dubbo,455,18569,27205,62.86407
14,An image loading and caching library for Android focused on smooth scrolling,bumptech/glide,11267509,Java,glide,130,63046,26249,
15,"Render After Effects animations natively on Android and iOS, Web, and React Native",airbnb/lottie-android,70198875,Java,lottie-android,33,133948,25744,
16,http下载工具，基于http代理，支持多连接分块下载,proxyee-down-org/proxyee-down,108252892,Java,proxyee-down,211,26846,24255,
17,Bind Android views and callbacks to fields and methods.,JakeWharton/butterknife,8575137,Java,butterknife,104,3814,24015,
18,:fire: Android developers should collect the following utils(updating).,Blankj/AndroidUtilCode,64558143,Java,AndroidUtilCode,31,45007,23660,
19,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",zxing/zxing,2562751,Java,zxing,9,239960,22805,78.12261
