,description,full_name,id,language,name,open_issues_count,stargazers_count,test_coverage
0,An Open Source Machine Learning Framework for Everyone,tensorflow/tensorflow,45717250,C++,tensorflow,2584,129475,
1,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",electron/electron,9384267,C++,electron,1332,74265,
2,The Swift Programming Language,apple/swift,44838949,C++,swift,566,48135,
3,"The new Windows Terminal, and the original Windows console host -- all in the same place!",microsoft/terminal,100060912,C++,terminal,436,45251,
4,Bitcoin Core integration/staging tree,bitcoin/bitcoin,1181927,C++,bitcoin,981,38802,39.0128789696824
5,Open Source Computer Vision Library,opencv/opencv,5108051,C++,opencv,1730,35701,
6,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.,nwjs/nw.js,3100121,C++,nw.js,744,35539,
7,Protocol Buffers - Google's data interchange format,protocolbuffers/protobuf,23357588,C++,protobuf,630,35043,
8,An open-source x64/x32 debugger for windows.,x64dbg/x64dbg,33791743,C++,x64dbg,380,33978,
9,Tensors and Dynamic neural networks in Python  with strong GPU acceleration,pytorch/pytorch,65600975,C++,pytorch,3148,29011,
10,Caffe: a fast open framework for deep learning.,BVLC/caffe,12791642,C++,caffe,1019,28330,
11,Tesseract Open Source OCR Engine (main repository),tesseract-ocr/tesseract,22887094,C++,tesseract,226,27673,
12,Godot Engine – Multi-platform 2D and 3D game engine,godotengine/godot,15634981,C++,godot,5269,22770,
13,The open-source database for the realtime web.,rethinkdb/rethinkdb,6452529,C++,rethinkdb,1466,22263,
14,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",grpc/grpc,27729880,C++,grpc,1334,21610,63.5527767561604
15,Lovely console emulator package for Windows,cmderdev/cmder,11276147,C++,cmder,23,18533,
16,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,google/leveldb,23405758,C++,leveldb,102,17812,
17,Emscripten: An LLVM-to-Web Compiler,emscripten-core/emscripten,1357796,C++,emscripten,1860,17266,
18,Windows Calculator: A simple yet powerful calculator that ships with Windows,microsoft/calculator,168008797,C++,calculator,140,17211,
19,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",apache/incubator-mxnet,34864402,C++,incubator-mxnet,1215,17136,
20,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Flink and DataFlow",dmlc/xgboost,16587283,C++,xgboost,125,16281,
21,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit",microsoft/CNTK,46918116,C++,CNTK,748,16202,
22,The MongoDB Database,mongodb/mongo,108110,C++,mongo,39,16176,
23,A virtual machine for executing programs written in Hack.,facebook/hhvm,455600,C++,hhvm,861,16039,
24,Dear ImGui: Bloat-free Immediate Mode Graphical User interface for C++ with minimal dependencies,ocornut/imgui,22067521,C++,imgui,400,15569,26.1025029797378
25,"aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink.",aria2/aria2,1116542,C++,aria2,577,15168,
26,"SQL powered operating system instrumentation, monitoring, and analytics.",facebook/osquery,22394357,C++,osquery,557,14280,
