,description,full_name,id,language,name,open_issues_count,stargazers_count,test_coverage
0,The https://www.freeCodeCamp.org open source codebase and curriculum. Learn to code for free together with millions of people.,freeCodeCamp/freeCodeCamp,28457823,JavaScript,freeCodeCamp,1837,303412,
1,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",vuejs/vue,11730342,JavaScript,vue,298,141440,94.0673436664885
2,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",twbs/bootstrap,2126244,JavaScript,bootstrap,378,134046,91.4264320479221
3,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",facebook/react,10270250,JavaScript,react,720,131133,85.0973818646232
4,JavaScript Style Guide,airbnb/javascript,6498492,JavaScript,javascript,137,86208,
5,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",d3/d3,943149,JavaScript,d3,9,85340,
6,A framework for building native apps with React.,facebook/react-native,29028775,JavaScript,react-native,537,78150,6.82952956769613
7,Set up a modern web app by running one command.,facebook/create-react-app,63537249,JavaScript,create-react-app,385,68629,
8,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,nodejs/node,27193779,JavaScript,node,964,62108,
9,Promise based HTTP client for the browser and node.js,axios/axios,23088740,JavaScript,axios,656,60784,
10,"The iconic SVG, font, and CSS toolkit",FortAwesome/Font-Awesome,3470471,JavaScript,Font-Awesome,4804,60081,
11,AngularJS - HTML enhanced for web apps!,angular/angular.js,460078,JavaScript,angular.js,461,59568,
12,JavaScript 3D library.,mrdoob/three.js,576201,JavaScript,three.js,890,52397,
13,jQuery JavaScript Library,jquery/jquery,167174,JavaScript,jquery,82,51769,
14,Headless Chrome Node API,GoogleChrome/puppeteer,90796663,JavaScript,puppeteer,400,50341,
15,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,trekhleb/javascript-algorithms,126577260,JavaScript,javascript-algorithms,94,49787,
16,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",webpack/webpack,3678731,JavaScript,webpack,510,49407,94.1567202906072
17,Predictable state container for JavaScript apps,reduxjs/redux,36535156,JavaScript,redux,30,49153,
18,:atom: The hackable text editor,atom/atom,3228505,JavaScript,atom,665,49021,
19,"React components for faster and easier web development. Build your own design system, or start with Material Design.",mui-org/material-ui,23083156,JavaScript,material-ui,323,47958,
