,description,full_name,id,language,name,open_issues_count,stargazers_count,test_coverage
0,A PHP framework for web artisans,laravel/laravel,1863329,PHP,laravel,27,52975,
1,The Symfony PHP framework,symfony/symfony,458058,PHP,symfony,864,20978,
2,Faker is a PHP library that generates fake data for you,fzaninotto/Faker,2579314,PHP,Faker,213,20912,
3,Dependency Manager for PHP,composer/composer,1864363,PHP,composer,386,20016,
4,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.",danielmiessler/SecLists,3482588,PHP,SecLists,5,18672,
5,,laravel/framework,7548986,PHP,framework,98,17642,92.8777670837344
6,Open Source PHP Framework (originally from EllisLab),bcit-ci/CodeIgniter,2234102,PHP,CodeIgniter,82,17370,27.4364847980008
7,sample code for several design patterns in PHP,domnikl/DesignPatternsPHP,2246815,PHP,DesignPatternsPHP,2,17350,
8,"Guzzle, an extensible PHP HTTP client",guzzle/guzzle,1420053,PHP,guzzle,309,16880,
9,"Sends your logs to files, sockets, inboxes, databases and various web services",Seldaek/monolog,1376664,PHP,monolog,77,14942,
10,The PHP Unit Testing framework.,sebastianbergmann/phpunit,448045,PHP,phpunit,92,14110,
11,The classic email sending library for PHP,PHPMailer/PHPMailer,2253830,PHP,PHPMailer,32,13263,
12,"Yii 2: The Fast, Secure and Professional PHP Framework",yiisoft/yii2,3431193,PHP,yii2,629,12900,49.3230505569837
13,A simple PHP API extension for DateTime.,briannesbitt/Carbon,5724990,PHP,Carbon,7,12694,
14,"WordPress, Git-ified. Synced via SVN every 15 minutes, including branches and tags! This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit patches to https://core.trac.wordpress.org/ instead.",WordPress/WordPress,2889328,PHP,WordPress,0,12562,
15,"Liberating Web Analytics. Star us on Github? +1. Matomo is the leading open alternative to Google Analytics that gives you full control over your data. Matomo lets you easily collect data from websites, apps & the IoT and visualise this data and extract insights. Privacy is built-in. We love Pull Requests! ",matomo-org/matomo,1548202,PHP,matomo,1784,11327,
16,Better Markdown Parser in PHP,erusev/parsedown,11323319,PHP,parsedown,61,11128,48.9690721649485
