,description,full_name,id,language,name,open_issues_count,stargazers_count,test_coverage
0,Visual Studio Code,microsoft/vscode,41881900,TypeScript,vscode,5927,78225,
1,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,microsoft/TypeScript,20929025,TypeScript,TypeScript,3951,50415,
2,One framework. Mobile & desktop.,angular/angular,24195339,TypeScript,angular,2893,49077,
3,🌈 A UI Design Language,ant-design/ant-design,34526884,TypeScript,ant-design,325,47675,86.2433862433862
4,Build amazing native and progressive web apps with open web technologies. One app running on everything 🎉,ionic-team/ionic,12256376,TypeScript,ionic,558,38317,
5,"A secure JavaScript/TypeScript runtime built with V8, Rust, and Tokio",denoland/deno,133442384,TypeScript,deno,225,35483,
6,"The tool for beautiful monitoring and metric analytics & dashboards for Graphite, InfluxDB & Prometheus & More",grafana/grafana,15111821,TypeScript,grafana,1897,29280,85.1030110935024
7,The repository for high quality TypeScript type definitions.,DefinitelyTyped/DefinitelyTyped,6093316,TypeScript,DefinitelyTyped,2919,22697,
8,CLI tool for Angular,angular/angular-cli,36891867,TypeScript,angular-cli,741,21782,
9,Run VS Code on a remote server.,cdr/code-server,172953845,TypeScript,code-server,286,20415,
10,"A beautiful replacement for JavaScript's ""alert""",t4t5/sweetalert,24635156,TypeScript,sweetalert,116,20016,
11,A terminal emulator for the 21st century.,railsware/upterm,32665718,TypeScript,upterm,220,19756,
12,Cybernetically enhanced web apps,sveltejs/svelte,74293321,TypeScript,svelte,349,18975,
13,A reactive programming library for JavaScript,ReactiveX/rxjs,32247847,TypeScript,rxjs,312,18836,96.8431601803909
14,Component infrastructure and Material Design components for Angular,angular/components,49016322,TypeScript,components,1844,18198,
15,Screenshots with JavaScript,niklasvh/html2canvas,2056312,TypeScript,html2canvas,420,17223,
16,"NativeScript is an open source framework for building truly native mobile apps with JavaScript. Use web skills, like Angular and Vue.js, FlexBox and CSS, and get native UI and performance on iOS and Android.",NativeScript/NativeScript,31492490,TypeScript,NativeScript,461,17077,
17,"Admin dashboard template based on Angular 7+, Bootstrap 4 (previously known as ng2-admin)",akveo/ngx-admin,59652928,TypeScript,ngx-admin,257,16868,
18,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications on top of TypeScript & JavaScript (ES6, ES7, ES8) 🚀",nestjs/nest,80945428,TypeScript,nest,112,16660,94.9533735600658
19,"Build forms in React, without the tears 😭 ",jaredpalmer/formik,94367677,TypeScript,formik,255,15970,
